Week,Age Group,Total Cumulative Cases,Cumulative_Death_Male,Cumulative_Death_Female,Date,Number of Cases,Number of Male Deaths,Number of Female Deaths
41,45-54 yrs,36912,196,70,2021-01-22 12:00:00,367.0,5.0,2.0
41,55-64 yrs,20903,283,99,2021-01-22 12:00:00,223.0,7.0,1.0
41,65-74 yrs,11601,369,147,2021-01-22 12:00:00,146.0,7.0,3.0
41,75-84 yrs,5298,252,124,2021-01-22 12:00:00,79.0,5.0,1.0
41,85+ yrs,1445,108,39,2021-01-22 12:00:00,20.0,3.0,1.0
41,Unknown,1993,3,1,2021-01-22 12:00:00,3.0,-1.0,1.0
42,00-04 yrs,2671,2,4,2021-01-29 00:00:00,8.0,0.0,0.0
42,05-14 yrs,9075,3,2,2021-01-29 00:00:00,37.0,0.0,0.0
42,15-24 yrs,44035,22,25,2021-01-29 00:00:00,142.0,0.0,0.0
42,25-34 yrs,78997,59,34,2021-01-29 00:00:00,338.0,0.0,0.0
42,35-44 yrs,57657,114,56,2021-01-29 00:00:00,274.0,0.0,1.0
42,45-54 yrs,37148,198,70,2021-01-29 00:00:00,236.0,2.0,0.0
42,55-64 yrs,21046,284,104,2021-01-29 00:00:00,143.0,1.0,5.0
42,65-74 yrs,11683,371,149,2021-01-29 00:00:00,82.0,2.0,2.0
42,75-84 yrs,5359,254,126,2021-01-29 00:00:00,61.0,2.0,2.0
42,85+ yrs,1450,109,39,2021-01-29 00:00:00,5.0,1.0,0.0
42,Unknown,1996,4,0,2021-01-29 00:00:00,3.0,1.0,-1.0
43,00-04 yrs,2674,2,4,2021-02-05 00:00:00,3.0,0.0,0.0
43,05-14 yrs,9101,3,2,2021-02-05 00:00:00,26.0,0.0,0.0
43,15-24 yrs,44150,22,25,2021-02-05 00:00:00,115.0,0.0,0.0
43,25-34 yrs,79228,59,34,2021-02-05 00:00:00,231.0,0.0,0.0
43,35-44 yrs,57841,114,56,2021-02-05 00:00:00,184.0,0.0,0.0
43,45-54 yrs,37314,200,70,2021-02-05 00:00:00,166.0,2.0,0.0
43,55-64 yrs,21148,287,104,2021-02-05 00:00:00,102.0,3.0,0.0
43,65-74 yrs,11745,376,150,2021-02-05 00:00:00,62.0,5.0,1.0
43,75-84 yrs,5397,258,126,2021-02-05 00:00:00,38.0,4.0,0.0
43,85+ yrs,1460,109,40,2021-02-05 00:00:00,10.0,0.0,1.0
43,Unknown,1997,4,0,2021-02-05 00:00:00,1.0,0.0,0.0
44,00-04 yrs,2679,2,4,2021-02-12 00:00:00,5.0,0.0,0.0
44,05-14 yrs,9123,3,2,2021-02-12 00:00:00,22.0,0.0,0.0
44,15-24 yrs,44232,22,25,2021-02-12 00:00:00,82.0,0.0,0.0
44,25-34 yrs,79416,60,34,2021-02-12 00:00:00,188.0,1.0,0.0
44,35-44 yrs,58000,114,57,2021-02-12 00:00:00,159.0,0.0,1.0
44,45-54 yrs,37451,200,70,2021-02-12 00:00:00,137.0,0.0,0.0
44,55-64 yrs,21237,288,104,2021-02-12 00:00:00,89.0,1.0,0.0
44,65-74 yrs,11800,376,152,2021-02-12 00:00:00,55.0,0.0,2.0
44,75-84 yrs,5440,262,127,2021-02-12 00:00:00,43.0,4.0,1.0
44,85+ yrs,1465,109,40,2021-02-12 00:00:00,5.0,0.0,0.0
44,Unknown,1997,3,1,2021-02-12 00:00:00,0.0,-1.0,1.0
45,00-04 yrs,2681,2,4,2021-02-19 00:00:00,2.0,0.0,0.0
45,05-14 yrs,9142,3,2,2021-02-19 00:00:00,19.0,0.0,0.0
45,15-24 yrs,44313,22,25,2021-02-19 00:00:00,81.0,0.0,0.0
45,25-34 yrs,79586,60,34,2021-02-19 00:00:00,170.0,0.0,0.0
45,35-44 yrs,58157,114,57,2021-02-19 00:00:00,157.0,0.0,0.0
45,45-54 yrs,37572,200,70,2021-02-19 00:00:00,121.0,0.0,0.0
45,55-64 yrs,21318,289,104,2021-02-19 00:00:00,81.0,1.0,0.0
45,65-74 yrs,11851,380,153,2021-02-19 00:00:00,51.0,4.0,1.0
45,75-84 yrs,5467,262,129,2021-02-19 00:00:00,27.0,0.0,2.0
45,85+ yrs,1472,109,40,2021-02-19 00:00:00,7.0,0.0,0.0
45,Unknown,1997,2,0,2021-02-19 00:00:00,0.0,-1.0,-1.0
46,00-04 yrs,2683,3,6,2021-02-26 00:00:00,2.0,1.0,2.0
46,05-14 yrs,9161,3,2,2021-02-26 00:00:00,19.0,0.0,0.0
46,15-24 yrs,44389,22,26,2021-02-26 00:00:00,76.0,0.0,1.0
46,25-34 yrs,79737,60,34,2021-02-26 00:00:00,151.0,0.0,0.0
46,35-44 yrs,58297,115,57,2021-02-26 00:00:00,140.0,1.0,0.0
46,45-54 yrs,37671,202,70,2021-02-26 00:00:00,99.0,2.0,0.0
46,55-64 yrs,21407,290,105,2021-02-26 00:00:00,89.0,1.0,1.0
46,65-74 yrs,11905,383,154,2021-02-26 00:00:00,54.0,3.0,1.0
46,75-84 yrs,5494,266,130,2021-02-26 00:00:00,27.0,4.0,1.0
46,85+ yrs,1474,108,39,2021-02-26 00:00:00,2.0,-1.0,-1.0
46,Unknown,1998,2,0,2021-02-26 00:00:00,1.0,0.0,0.0
47,00-04 yrs,2684,8,8,2021-03-05 00:00:00,1.0,5.0,2.0
47,05-14 yrs,9174,4,4,2021-03-05 00:00:00,13.0,1.0,2.0
47,15-24 yrs,44486,30,28,2021-03-05 00:00:00,97.0,8.0,2.0
47,25-34 yrs,79853,81,46,2021-03-05 00:00:00,116.0,21.0,12.0
47,35-44 yrs,58425,158,70,2021-03-05 00:00:00,128.0,43.0,13.0
47,45-54 yrs,37775,298,109,2021-03-05 00:00:00,104.0,96.0,39.0
47,55-64 yrs,21488,411,158,2021-03-05 00:00:00,81.0,121.0,53.0
47,65-74 yrs,11941,541,243,2021-03-05 00:00:00,36.0,158.0,89.0
47,75-84 yrs,5508,396,195,2021-03-05 00:00:00,14.0,130.0,65.0
47,85+ yrs,1478,157,63,2021-03-05 00:00:00,4.0,49.0,24.0
47,Unknown,1998,2,1,2021-03-05 00:00:00,0.0,0.0,1.0
48,00-04 yrs,2688,8,8,2021-03-12 00:00:00,4.0,0.0,0.0
48,05-14 yrs,9186,4,4,2021-03-12 00:00:00,12.0,0.0,0.0
48,15-24 yrs,44565,30,28,2021-03-12 00:00:00,79.0,0.0,0.0
48,25-34 yrs,79974,81,46,2021-03-12 00:00:00,121.0,0.0,0.0
48,35-44 yrs,58516,158,70,2021-03-12 00:00:00,91.0,0.0,0.0
48,45-54 yrs,37853,299,109,2021-03-12 00:00:00,78.0,1.0,0.0
48,55-64 yrs,21548,411,158,2021-03-12 00:00:00,60.0,0.0,0.0
48,65-74 yrs,11972,543,243,2021-03-12 00:00:00,31.0,2.0,0.0
48,75-84 yrs,5523,396,195,2021-03-12 00:00:00,15.0,0.0,0.0
48,85+ yrs,1485,157,63,2021-03-12 00:00:00,7.0,0.0,0.0
48,Unknown,2000,2,1,2021-03-12 00:00:00,2.0,0.0,0.0
49,00-04 yrs,2691,8,8,2021-03-19 00:00:00,3.0,0.0,0.0
49,05-14 yrs,9213,4,4,2021-03-19 00:00:00,27.0,0.0,0.0
49,15-24 yrs,44700,30,28,2021-03-19 00:00:00,135.0,0.0,0.0
49,25-34 yrs,80136,81,46,2021-03-19 00:00:00,162.0,0.0,0.0
49,35-44 yrs,58670,158,70,2021-03-19 00:00:00,154.0,0.0,0.0
49,45-54 yrs,37977,300,109,2021-03-19 00:00:00,124.0,1.0,0.0
49,55-64 yrs,21616,411,158,2021-03-19 00:00:00,68.0,0.0,0.0
49,65-74 yrs,12024,545,243,2021-03-19 00:00:00,52.0,2.0,0.0
49,75-84 yrs,5542,398,195,2021-03-19 00:00:00,19.0,2.0,0.0
49,85+ yrs,1486,157,63,2021-03-19 00:00:00,1.0,0.0,0.0
49,Unknown,2001,2,1,2021-03-19 00:00:00,1.0,0.0,0.0
50,00-04 yrs,2696,8,8,2021-03-26 00:00:00,5.0,0.0,0.0
50,05-14 yrs,9233,4,4,2021-03-26 00:00:00,20.0,0.0,0.0
50,15-24 yrs,44899,30,28,2021-03-26 00:00:00,199.0,0.0,0.0
50,25-34 yrs,80345,82,46,2021-03-26 00:00:00,209.0,1.0,0.0
50,35-44 yrs,58841,158,71,2021-03-26 00:00:00,171.0,0.0,1.0
50,45-54 yrs,38095,300,109,2021-03-26 00:00:00,118.0,0.0,0.0
50,55-64 yrs,21732,413,158,2021-03-26 00:00:00,116.0,2.0,0.0
50,65-74 yrs,12077,547,243,2021-03-26 00:00:00,53.0,2.0,0.0
50,75-84 yrs,5566,399,196,2021-03-26 00:00:00,24.0,1.0,1.0
50,85+ yrs,1493,157,63,2021-03-26 00:00:00,7.0,0.0,0.0
50,Unknown,2003,2,1,2021-03-26 00:00:00,2.0,0.0,0.0
51,00-04 yrs,2706,8,8,2021-04-02 00:00:00,10.0,0.0,0.0
51,05-14 yrs,9273,4,4,2021-04-02 00:00:00,40.0,0.0,0.0
51,15-24 yrs,45084,30,28,2021-04-02 00:00:00,185.0,0.0,0.0
51,25-34 yrs,80642,82,46,2021-04-02 00:00:00,297.0,0.0,0.0
51,35-44 yrs,59114,158,72,2021-04-02 00:00:00,273.0,0.0,1.0
51,45-54 yrs,38293,302,110,2021-04-02 00:00:00,198.0,2.0,1.0
51,55-64 yrs,21858,415,158,2021-04-02 00:00:00,126.0,2.0,0.0
51,65-74 yrs,12133,548,243,2021-04-02 00:00:00,56.0,1.0,0.0
51,75-84 yrs,5605,400,196,2021-04-02 00:00:00,39.0,1.0,0.0
51,85+ yrs,1497,158,63,2021-04-02 00:00:00,4.0,1.0,0.0
51,Unknown,2005,2,1,2021-04-02 00:00:00,2.0,0.0,0.0
52,00-04 yrs,2723,8,8,2021-04-09 00:00:00,17.0,0.0,0.0
52,05-14 yrs,9355,4,4,2021-04-09 00:00:00,82.0,0.0,0.0
52,15-24 yrs,45501,30,28,2021-04-09 00:00:00,417.0,0.0,0.0
52,25-34 yrs,81198,82,46,2021-04-09 00:00:00,556.0,0.0,0.0
52,35-44 yrs,59594,158,72,2021-04-09 00:00:00,480.0,0.0,0.0
52,45-54 yrs,38645,304,110,2021-04-09 00:00:00,352.0,2.0,0.0
52,55-64 yrs,22083,417,158,2021-04-09 00:00:00,225.0,2.0,0.0
52,65-74 yrs,12255,550,246,2021-04-09 00:00:00,122.0,2.0,3.0
52,75-84 yrs,5648,406,196,2021-04-09 00:00:00,43.0,6.0,0.0
52,85+ yrs,1514,159,63,2021-04-09 00:00:00,17.0,1.0,0.0
52,Unknown,2008,2,2,2021-04-09 00:00:00,3.0,0.0,1.0
53,00-04 yrs,2759,8,8,2021-04-16 00:00:00,36.0,0.0,0.0
53,05-14 yrs,9549,5,4,2021-04-16 00:00:00,194.0,1.0,0.0
53,15-24 yrs,46388,28,31,2021-04-16 00:00:00,887.0,-2.0,3.0
53,25-34 yrs,82601,84,44,2021-04-16 00:00:00,1403.0,2.0,-2.0
53,35-44 yrs,60686,163,71,2021-04-16 00:00:00,1092.0,5.0,-1.0
53,45-54 yrs,39504,304,119,2021-04-16 00:00:00,859.0,0.0,9.0
53,55-64 yrs,22604,420,158,2021-04-16 00:00:00,521.0,3.0,0.0
53,65-74 yrs,12481,558,250,2021-04-16 00:00:00,226.0,8.0,4.0
53,75-84 yrs,5754,411,196,2021-04-16 00:00:00,106.0,5.0,0.0
53,85+ yrs,1550,157,67,2021-04-16 00:00:00,36.0,-2.0,4.0
53,Unknown,2024,3,2,2021-04-16 00:00:00,16.0,1.0,0.0
54,00-04 yrs,2886,8,8,2021-04-23 00:00:00,127.0,0.0,0.0
54,05-14 yrs,10215,6,4,2021-04-23 00:00:00,666.0,1.0,0.0
54,15-24 yrs,49379,28,32,2021-04-23 00:00:00,2991.0,0.0,1.0
54,25-34 yrs,87384,88,44,2021-04-23 00:00:00,4783.0,4.0,0.0
54,35-44 yrs,64278,176,76,2021-04-23 00:00:00,3592.0,13.0,5.0
54,45-54 yrs,42228,316,123,2021-04-23 00:00:00,2724.0,12.0,4.0
54,55-64 yrs,24146,434,163,2021-04-23 00:00:00,1542.0,14.0,5.0
54,65-74 yrs,13207,562,257,2021-04-23 00:00:00,726.0,4.0,7.0
54,75-84 yrs,6021,416,202,2021-04-23 00:00:00,267.0,5.0,6.0
54,85+ yrs,1618,158,68,2021-04-23 00:00:00,68.0,1.0,1.0
54,Unknown,2199,4,3,2021-04-23 00:00:00,175.0,1.0,1.0
55,00-04 yrs,3218,8,8,2021-04-30 00:00:00,332.0,0.0,0.0
55,05-14 yrs,11524,6,4,2021-04-30 00:00:00,1309.0,0.0,0.0
55,15-24 yrs,55086,30,33,2021-04-30 00:00:00,5707.0,2.0,1.0
55,25-34 yrs,98692,93,50,2021-04-30 00:00:00,11308.0,5.0,6.0
55,35-44 yrs,72822,198,85,2021-04-30 00:00:00,8544.0,22.0,9.0
55,45-54 yrs,48488,347,138,2021-04-30 00:00:00,6260.0,31.0,15.0
55,55-64 yrs,27809,464,170,2021-04-30 00:00:00,3663.0,30.0,7.0
55,65-74 yrs,14837,586,267,2021-04-30 00:00:00,1630.0,24.0,10.0
55,75-84 yrs,6683,427,207,2021-04-30 00:00:00,662.0,11.0,5.0
55,85+ yrs,1775,161,73,2021-04-30 00:00:00,157.0,3.0,5.0
55,Unknown,2484,4,3,2021-04-30 00:00:00,285.0,0.0,0.0
56,00-04 yrs,3779,8,10,2021-05-07 00:00:00,561.0,0.0,2.0
56,05-14 yrs,13753,6,4,2021-05-07 00:00:00,2229.0,0.0,0.0
56,15-24 yrs,63468,31,36,2021-05-07 00:00:00,8382.0,1.0,3.0
56,25-34 yrs,114887,111,59,2021-05-07 00:00:00,16195.0,18.0,9.0
56,35-44 yrs,85664,239,113,2021-05-07 00:00:00,12842.0,41.0,28.0
56,45-54 yrs,58067,404,167,2021-05-07 00:00:00,9579.0,57.0,29.0
56,55-64 yrs,33933,532,198,2021-05-07 00:00:00,6124.0,68.0,28.0
56,65-74 yrs,17530,624,289,2021-05-07 00:00:00,2693.0,38.0,22.0
56,75-84 yrs,7804,448,221,2021-05-07 00:00:00,1121.0,21.0,14.0
56,85+ yrs,2099,174,76,2021-05-07 00:00:00,324.0,13.0,3.0
56,Unknown,2810,5,3,2021-05-07 00:00:00,326.0,1.0,0.0
